name,variable,value ,ci
KNN,F1_score,0.82,0.018
Logist,F1_score,0.896,0.042
SVM,F1_score,0.847,0.044
DTree,F1_score,0.897,0.028
Bayes,F1_score,0.839,0.026
Ada,F1_score,0.955,0.033
RFs,F1_score,0.87,0.046
MLP,F1_score,0.875,0.036
QDA,F1_score,0.872,0.023
KNN,Precision,0.857,0.051
Logist,Precision,0.886,0.077
SVM,Precision,0.932,0.103
DTree,Precision,0.864,0.079
Bayes,Precision,0.797,0.13
Ada,Precision,0.933,0.087
RFs,Precision,0.873,0.154
MLP,Precision,0.9,0.09
QDA,Precision,0.839,0.12
KNN,Recall,0.634,0.041
Logist,Recall,0.819,0.109
SVM,Recall,0.661,0.145
DTree,Recall,0.828,0.065
Bayes,Recall,0.746,0.096
Ada,Recall,0.934,0.044
RFs,Recall,0.704,0.173
MLP,Recall,0.76,0.107
QDA,Recall,0.797,0.068